# Sample experimental data for FFT analysis
# Signal: 50Hz (amp=1.0) + 120Hz (amp=0.5) + 200Hz (amp=0.3)
# Sampling rate: 1000 Hz, Duration: 1.0 s
# Time(s), Amplitude
0.395000, -0.706107
0.396000, -0.728406
0.397000, -1.017938
0.398000, -1.263134
0.399000, -0.936608
0.400000, 0.000000
0.401000, 0.936608
0.402000, 1.263134
0.403000, 1.017938
0.404000, 0.728406
0.405000, 0.706107
0.406000, 0.745230
0.407000, 0.563189
0.408000, 0.287105
0.409000, 0.264577
0.410000, 0.475528
0.411000, 0.428713
0.412000, -0.227387
0.413000, -1.169415
0.414000, -1.688787
0.415000, -1.475528
0.416000, -0.906616
0.417000, -0.508336
0.418000, -0.341957
0.419000, -0.103190
0.420000, 0.293893
0.421000, 0.531667
0.422000, 0.378864
0.423000, 0.133668
0.424000, 0.323466
0.425000, 1.000000
0.426000, 1.578647
0.427000, 1.484366
0.428000, 0.796706
0.429000, 0.086367
0.430000, -0.293893
0.431000, -0.514844
0.432000, -0.833614
0.433000, -1.109698
0.434000, -0.995497
0.435000, -0.524472
0.436000, -0.213326
0.437000, -0.448619
0.438000, -0.948183
0.439000, -1.046747
0.440000, -0.475528
0.441000, 0.353457
0.442000, 0.888466
0.443000, 1.054845
0.444000, 1.156883
0.445000, 1.293893
0.446000, 1.173707
0.447000, 0.600096
0.448000, -0.087564
0.449000, -0.318574
0.450000, -0.000000
0.451000, 0.318574
0.452000, 0.087564
0.453000, -0.600096
0.454000, -1.173707
0.455000, -1.293893
0.456000, -1.156883
0.457000, -1.054845
0.458000, -0.888466
0.459000, -0.353457
0.460000, 0.475528
0.461000, 1.046747
0.462000, 0.948183
0.463000, 0.448619
0.464000, 0.213326
0.465000, 0.524472
0.466000, 0.995497
0.467000, 1.109698
0.468000, 0.833614
0.469000, 0.514844
0.470000, 0.293893
0.471000, -0.086367
0.472000, -0.796706
0.473000, -1.484366
0.474000, -1.578647
0.475000, -1.000000
0.476000, -0.323466
0.477000, -0.133668
0.478000, -0.378864
0.479000, -0.531667
0.480000, -0.293893
0.481000, 0.103190
0.482000, 0.341957
0.483000, 0.508336
0.484000, 0.906616
0.485000, 1.475528
0.486000, 1.688787
0.487000, 1.169415
0.488000, 0.227387
0.489000, -0.428713
0.490000, -0.475528
0.491000, -0.264577
0.492000, -0.287105
0.493000, -0.563189
0.494000, -0.745230
0.495000, -0.706107
0.496000, -0.728406
0.497000, -1.017938
0.498000, -1.263134
0.499000, -0.936608
0.500000, -0.000000
0.501000, 0.936608
0.502000, 1.263134
0.503000, 1.017938
0.504000, 0.728406
0.505000, 0.706107
0.506000, 0.745230
0.507000, 0.563189
0.508000, 0.287105
0.509000, 0.264577
0.510000, 0.475528
0.511000, 0.428713
0.512000, -0.227387
0.513000, -1.169415
0.514000, -1.688787
0.515000, -1.475528
0.516000, -0.906616
0.517000, -0.508336
0.518000, -0.341957
0.519000, -0.103190
0.520000, 0.293893
0.521000, 0.531667
0.522000, 0.378864
0.523000, 0.133668
0.524000, 0.323466
0.525000, 1.000000
0.526000, 1.578647
0.527000, 1.484366
0.528000, 0.796706
0.529000, 0.086367
0.530000, -0.293893
0.531000, -0.514844
0.532000, -0.833614
0.533000, -1.109698
0.534000, -0.995497
0.535000, -0.524472
0.536000, -0.213326
0.537000, -0.448619
0.538000, -0.948183
0.539000, -1.046747
0.540000, -0.475528
0.541000, 0.353457
0.542000, 0.888466
0.543000, 1.054845
0.544000, 1.156883
0.545000, 1.293893
0.546000, 1.173707
0.547000, 0.600096
0.548000, -0.087564
0.549000, -0.318574
0.550000, -0.000000
0.551000, 0.318574
0.552000, 0.087564
0.553000, -0.600096
0.554000, -1.173707
0.555000, -1.293893
0.556000, -1.156883
0.557000, -1.054845
0.558000, -0.888466
0.559000, -0.353457
0.560000, 0.475528
0.561000, 1.046747
0.562000, 0.948183
0.563000, 0.448619
0.564000, 0.213326
0.565000, 0.524472
0.566000, 0.995497
0.567000, 1.109698
0.568000, 0.833614
0.569000, 0.514844
0.570000, 0.293893
0.571000, -0.086367
0.572000, -0.796706
0.573000, -1.484366
0.574000, -1.578647
0.575000, -1.000000
0.576000, -0.323466
0.577000, -0.133668
0.578000, -0.378864
0.579000, -0.531667
0.580000, -0.293893
0.581000, 0.103190
0.582000, 0.341957
0.583000, 0.508336
0.584000, 0.906616
0.585000, 1.475528
0.586000, 1.688787
0.587000, 1.169415
0.588000, 0.227387
0.589000, -0.428713
0.590000, -0.475528
0.591000, -0.264577
0.592000, -0.287105
0.593000, -0.563189
0.594000, -0.745230
0.595000, -0.706107
0.596000, -0.728406
0.597000, -1.017938
0.598000, -1.263134
0.599000, -0.936608
0.600000, -0.000000
0.601000, 0.936608
0.602000, 1.263134
0.603000, 1.017938
0.604000, 0.728406
0.605000, 0.706107
0.606000, 0.745230
0.607000, 0.563189
0.608000, 0.287105
0.609000, 0.264577
0.610000, 0.475528
0.611000, 0.428713
0.612000, -0.227387
0.613000, -1.169415
0.614000, -1.688787
0.615000, -1.475528
0.616000, -0.906616
0.617000, -0.508336
0.618000, -0.341957
0.619000, -0.103190
0.620000, 0.293893
0.621000, 0.531667
0.622000, 0.378864
0.623000, 0.133668
0.624000, 0.323466
0.625000, 1.000000
0.626000, 1.578647
0.627000, 1.484366
0.628000, 0.796706
0.629000, 0.086367
0.630000, -0.293893
0.631000, -0.514844
0.632000, -0.833614
0.633000, -1.109698
0.634000, -0.995497
0.635000, -0.524472
0.636000, -0.213326
0.637000, -0.448619
0.638000, -0.948183
0.639000, -1.046747
0.640000, -0.475528
0.641000, 0.353457
0.642000, 0.888466
0.643000, 1.054845
0.644000, 1.156883
0.645000, 1.293893
0.646000, 1.173707
0.647000, 0.600096
0.648000, -0.087564
0.649000, -0.318574
0.650000, -0.000000
0.651000, 0.318574
0.652000, 0.087564
0.653000, -0.600096
0.654000, -1.173707
0.655000, -1.293893
0.656000, -1.156883
0.657000, -1.054845
0.658000, -0.888466
0.659000, -0.353457
0.660000, 0.475528
0.661000, 1.046747
0.662000, 0.948183
0.663000, 0.448619
0.664000, 0.213326
0.665000, 0.524472
0.666000, 0.995497
0.667000, 1.109698
0.668000, 0.833614
0.669000, 0.514844
0.670000, 0.293893
0.671000, -0.086367
0.672000, -0.796706
0.673000, -1.484366
0.674000, -1.578647
0.675000, -1.000000
0.676000, -0.323466
0.677000, -0.133668
0.678000, -0.378864
0.679000, -0.531667
0.680000, -0.293893
0.681000, 0.103190
0.682000, 0.341957
0.683000, 0.508336
0.684000, 0.906616
0.685000, 1.475528
0.686000, 1.688787
0.687000, 1.169415
0.688000, 0.227387
0.689000, -0.428713
0.690000, -0.475528
0.691000, -0.264577
0.692000, -0.287105
0.693000, -0.563189
0.694000, -0.745230
0.695000, -0.706107
0.696000, -0.728406
0.697000, -1.017938
0.698000, -1.263134
0.699000, -0.936608
0.700000, -0.000000
0.701000, 0.936608
0.702000, 1.263134
0.703000, 1.017938
0.704000, 0.728406
0.705000, 0.706107
0.706000, 0.745230
0.707000, 0.563189
0.708000, 0.287105
0.709000, 0.264577
0.710000, 0.475528
0.711000, 0.428713
0.712000, -0.227387
0.713000, -1.169415
0.714000, -1.688787
0.715000, -1.475528
0.716000, -0.906616
0.717000, -0.508336
0.718000, -0.341957
0.719000, -0.103190
0.720000, 0.293893
0.721000, 0.531667
0.722000, 0.378864
0.723000, 0.133668
0.724000, 0.323466
0.725000, 1.000000
0.726000, 1.578647
0.727000, 1.484366
0.728000, 0.796706
0.729000, 0.086367
0.730000, -0.293893
0.731000, -0.514844
0.732000, -0.833614
0.733000, -1.109698
0.734000, -0.995497
0.735000, -0.524472
0.736000, -0.213326
0.737000, -0.448619
0.738000, -0.948183
0.739000, -1.046747
0.740000, -0.475528
0.741000, 0.353457
0.742000, 0.888466
0.743000, 1.054845
0.744000, 1.156883
0.745000, 1.293893
0.746000, 1.173707
0.747000, 0.600096
0.748000, -0.087564
0.749000, -0.318574
0.750000, -0.000000
0.751000, 0.318574
0.752000, 0.087564
0.753000, -0.600096
0.754000, -1.173707
0.755000, -1.293893
0.756000, -1.156883
0.757000, -1.054845
0.758000, -0.888466
0.759000, -0.353457
0.760000, 0.475528
0.761000, 1.046747
0.762000, 0.948183
0.763000, 0.448619
0.764000, 0.213326
0.765000, 0.524472
0.766000, 0.995497
0.767000, 1.109698
0.768000, 0.833614
0.769000, 0.514844
0.770000, 0.293893
0.771000, -0.086367
0.772000, -0.796706
0.773000, -1.484366
0.774000, -1.578647
0.775000, -1.000000
0.776000, -0.323466
0.777000, -0.133668
0.778000, -0.378864
0.779000, -0.531667
0.780000, -0.293893
0.781000, 0.103190
0.782000, 0.341957
0.783000, 0.508336
0.784000, 0.906616
0.785000, 1.475528
0.786000, 1.688787
0.787000, 1.169415
0.788000, 0.227387
0.789000, -0.428713
0.790000, -0.475528
0.791000, -0.264577
0.792000, -0.287105
0.793000, -0.563189
0.794000, -0.745230
0.795000, -0.706107
0.796000, -0.728406
0.797000, -1.017938
0.798000, -1.263134
0.799000, -0.936608
0.800000, 0.000000
0.801000, 0.936608
0.802000, 1.263134
0.803000, 1.017938
0.804000, 0.728406
0.805000, 0.706107
0.806000, 0.745230
0.807000, 0.563189
0.808000, 0.287105
0.809000, 0.264577
0.810000, 0.475528
0.811000, 0.428713
0.812000, -0.227387
0.813000, -1.169415
0.814000, -1.688787
0.815000, -1.475528
0.816000, -0.906616
0.817000, -0.508336
0.818000, -0.341957
0.819000, -0.103190
0.820000, 0.293893
0.821000, 0.531667
0.822000, 0.378864
0.823000, 0.133668
0.824000, 0.323466
0.825000, 1.000000
0.826000, 1.578647
0.827000, 1.484366
0.828000, 0.796706
0.829000, 0.086367
0.830000, -0.293893
0.831000, -0.514844
0.832000, -0.833614
0.833000, -1.109698
0.834000, -0.995497
0.835000, -0.524472
0.836000, -0.213326
0.837000, -0.448619
0.838000, -0.948183
0.839000, -1.046747
0.840000, -0.475528
0.841000, 0.353457
0.842000, 0.888466
0.843000, 1.054845
0.844000, 1.156883
0.845000, 1.293893
0.846000, 1.173707
0.847000, 0.600096
0.848000, -0.087564
0.849000, -0.318574
0.850000, -0.000000
0.851000, 0.318574
0.852000, 0.087564
0.853000, -0.600096
0.854000, -1.173707
0.855000, -1.293893
0.856000, -1.156883
0.857000, -1.054845
0.858000, -0.888466
0.859000, -0.353457
0.860000, 0.475528
0.861000, 1.046747
0.862000, 0.948183
0.863000, 0.448619
0.864000, 0.213326
0.865000, 0.524472
0.866000, 0.995497
0.867000, 1.109698
0.868000, 0.833614
0.869000, 0.514844
0.870000, 0.293893
0.871000, -0.086367
0.872000, -0.796706
0.873000, -1.484366
0.874000, -1.578647
0.875000, -1.000000
0.876000, -0.323466
0.877000, -0.133668
0.878000, -0.378864
0.879000, -0.531667
0.880000, -0.293893
0.881000, 0.103190
0.882000, 0.341957
0.883000, 0.508336
0.884000, 0.906616
0.885000, 1.475528
0.886000, 1.688787
0.887000, 1.169415
0.888000, 0.227387
0.889000, -0.428713
0.890000, -0.475528
0.891000, -0.264577
0.892000, -0.287105
0.893000, -0.563189
0.894000, -0.745230
0.895000, -0.706107
0.896000, -0.728406
0.897000, -1.017938
0.898000, -1.263134
0.899000, -0.936608
0.900000, -0.000000
0.901000, 0.936608
0.902000, 1.263134
0.903000, 1.017938
0.904000, 0.728406
0.905000, 0.706107
0.906000, 0.745230
0.907000, 0.563189
0.908000, 0.287105
0.909000, 0.264577
0.910000, 0.475528
0.911000, 0.428713
0.912000, -0.227387
0.913000, -1.169415
0.914000, -1.688787
0.915000, -1.475528
0.916000, -0.906616
0.917000, -0.508336
0.918000, -0.341957
0.919000, -0.103190
0.920000, 0.293893
0.921000, 0.531667
0.922000, 0.378864
0.923000, 0.133668
0.924000, 0.323466
0.925000, 1.000000
0.926000, 1.578647
0.927000, 1.484366
0.928000, 0.796706
0.929000, 0.086367
0.930000, -0.293893
0.931000, -0.514844
0.932000, -0.833614
0.933000, -1.109698
0.934000, -0.995497
0.935000, -0.524472
0.936000, -0.213326
0.937000, -0.448619
0.938000, -0.948183
0.939000, -1.046747
0.940000, -0.475528
0.941000, 0.353457
0.942000, 0.888466
0.943000, 1.054845
0.944000, 1.156883
0.945000, 1.293893
0.946000, 1.173707
0.947000, 0.600096
0.948000, -0.087564
0.949000, -0.318574
0.950000, -0.000000
0.951000, 0.318574
0.952000, 0.087564
0.953000, -0.600096
0.954000, -1.173707
0.955000, -1.293893
0.956000, -1.156883
0.957000, -1.054845
0.958000, -0.888466
0.959000, -0.353457
0.960000, 0.475528
0.961000, 1.046747
0.962000, 0.948183
0.963000, 0.448619
0.964000, 0.213326
0.965000, 0.524472
0.966000, 0.995497
0.967000, 1.109698
0.968000, 0.833614
0.969000, 0.514844
0.970000, 0.293893
0.971000, -0.086367
0.972000, -0.796706
0.973000, -1.484366
0.974000, -1.578647
0.975000, -1.000000
0.976000, -0.323466
0.977000, -0.133668
0.978000, -0.378864
0.979000, -0.531667
0.980000, -0.293893
0.981000, 0.103190
0.982000, 0.341957
0.983000, 0.508336
0.984000, 0.906616
0.985000, 1.475528
0.986000, 1.688787
0.987000, 1.169415
0.988000, 0.227387
0.989000, -0.428713
0.990000, -0.475528
0.991000, -0.264577
0.992000, -0.287105
0.993000, -0.563189
0.994000, -0.745230
0.995000, -0.706107
0.996000, -0.728406
0.997000, -1.017938
0.998000, -1.263134
0.999000, -0.936608
